stock_id,stock_name
SH600150,*ST船舶
SZ300251,光线传媒
SH601009,南京银行
SZ002183,怡亚通
SH600316,XD洪都航
SZ002192,融捷股份
SH600391,航发科技
SH601169,北京银行
SH600795,国电电力
SZ002407,多氟多
SH600109,国金证券
SZ300377,赢时胜
SH600267,海正药业
SZ300431,暴风集团
SH600446,金证股份
SH600028,中国石化
SH600750,江中药业
SH601933,永辉超市
SZ000625,长安汽车
SH600010,包钢股份
SH600588,用友网络
SZ000895,双汇发展
SH600104,上汽集团
SZ300496,中科创达
SH600118,中国卫星
SH601106,中国一重
SZ000776,广发证券
SZ000997,新大陆
SH600029,南方航空
SH600221,海航控股
SH600019,宝钢股份
SH600019,宝钢股份
SH601006,大秦铁路
SZ000568,泸州老窖
SH601788,光大证券
SH600332,白云山
SH601899,紫金矿业
SH601857,中国石油
SH600893,航发动力
SZ300017,网宿科技
SZ300079,数码科技
SZ000777,中核科技
SH600089,特变电工
SZ002007,华兰生物
SZ002129,中环股份
SZ000410,沈阳机床
SH601088,中国神华
SZ000338,潍柴动力
SH601727,上海电气
SZ000930,中粮生化
SZ002241,歌尔股份
SH601669,中国电建
SH601000,唐山港
SH601336,新华保险
SZ000157,中联重科
SH600015,华夏银行
SH600111,北方稀土
SZ300238,冠昊生物
SH600362,江西铜业
SH601377,兴业证券
SH601800,中国交建
SH600352,浙江龙盛
SH600298,安琪酵母
SH600585,海螺水泥
SH600309,万华化学
SH601901,方正证券
SH600153,XD建发股
SH601186,中国铁建
SH600599,熊猫金控
SH600690,青岛海尔
SH600999,招商证券
SZ002049,紫光国微
SH600674,川投能源
SZ002450,康得新
SH600340,华夏幸福
SH600100,同方股份
SH601018,宁波港
SZ000100,TCL集团
SH600635,大众公用
SH603019,中科曙光
SH600325,华发股份
SH600516,方大炭素
SZ000728,国元证券
SZ000792,盐湖股份
SZ002340,格林美
SH600487,亨通光电
SH600783,鲁信创投
SH600158,中体产业
SH601179,中国西电
SH601628,中国人寿
SZ000738,航发控制
SH600645,中源协和
SZ000783,长江证券
SZ002353,杰瑞股份
SZ000788,北大医药
SH601985,中国核电
SH600637,东方明珠
SZ300136,信维通信
SH601633,长城汽车
SZ300024,机器人
SZ000507,珠海港
SZ000088,盐田港
SH600900,长江电力
SZ002405,四维图新
SH600266,北京城建
SH600219,南山铝业
SH600315,上海家化
SZ002649,博彦科技
SH600038,中直股份
SZ000039,中集集团
SH600717,天津港
SZ300058,蓝色光标
SZ002508,老板电器
SZ002008,大族激光
SZ000402,金融街
SZ000778,新兴铸管
SZ002456,欧菲科技
SZ300144,宋城演艺
SH600064,南京高科
SH600208,新湖中宝
SH601600,中国铝业
SZ000860,顺鑫农业
SH600436,片仔癀
SH600169,太原重工
SZ002422,科伦药业
SZ002236,大华股份
SZ000031,中粮地产
SH600372,中航电子
SH601919,中远海控
SH600881,亚泰集团
SZ000709,河钢股份
SH600547,山东黄金
SH600755,厦门国贸
SZ002030,达安基因
SH600683,京投发展
SH600489,中金黄金
SZ000917,电广传媒
SZ002202,金风科技
SH600787,中储股份
SZ300491,通合科技
SH601099,太平洋
SH600562,国睿科技
SZ300047,天源迪科
SH600172,黄河旋风
SH600115,东方航空
SH601618,中国中冶
SZ002142,宁波银行
SZ002153,石基信息
SH601168,西部矿业
SH600068,葛洲坝
SH600291,西水股份
SH600521,华海药业
SZ002285,世联行
SZ002783,凯龙股份
SZ002460,赣锋锂业
SH600256,广汇能源
SZ000413,东旭光电
SZ300072,三聚环保
SH600177,雅戈尔
SH600839,四川长虹
SH600098,广州发展
SZ000661,长春高新
SH603993,洛阳钼业
SZ002465,海格通信
SZ002081,金螳螂
SH600739,辽宁成大
SZ300495,美尚生态
SZ300315,掌趣科技
SH600875,东方电气
SZ300015,爱尔眼科
SH600895,张江高科
SH600705,中航资本
SZ002273,水晶光电
SZ000022,深赤湾A
SH600369,XD西南证
SZ000878,云南铜业
SH600879,航天电子
SZ000425,徐工机械
SH600271,航天信息
SH600826,兰生股份
SH601601,中国太保
SZ000050,深天马A
SH600066,宇通客车
SZ002673,西部证券
SZ002023,海特高新
SH600685,中船防务
SZ000006,深振业A
SZ002304,洋河股份
SH603288,海天味业
SH600478,科力远
SZ002013,中航机电
SH600751,海航科技
SZ300053,欧比特
SZ002781,奇信股份
SZ001979,招商蛇口
SZ002352,顺丰控股
SZ002782,可立克
SH600535,天士力
SZ300146,汤臣倍健
SZ000024,招商地产
SH600312,平高电气
SZ000839,中信国安
SZ300070,碧水源
SZ002253,川大智胜
SZ002280,联络互动
SH601118,海南橡胶
SH600149,ST坊展
SH603778,乾景园林
SZ002027,分众传媒
SZ300273,和佳股份
SZ002657,中科金财
SH603866,桃李面包
SH600703,三安光电
SZ002266,浙富控股
SH601519,大智慧
SZ002310,东方园林
SZ002242,九阳股份
SH600428,中远海特
SH601012,隆基股份
SZ000959,首钢股份
SZ002786,银宝山新
SH600760,中航沈飞
SZ002739,万达电影
SZ002294,信立泰
SZ002582,好想你
SZ000897,津滨发展
SZ000825,太钢不锈
SH600868,梅雁吉祥
SH600737,中粮糖业
SH600161,天坛生物
SH600741,华域汽车
SH600597,光明乳业
SH600061,国投资本
SH600198,*ST大唐
SH600415,小商品城
SH600633,浙数文化
SZ002292,奥飞娱乐
SZ002709,天赐材料
SH600009,上海机场
SZ000009,中国宝安
SH600005,武钢股份
SZ000831,五矿稀土
SZ300322,硕贝德
SZ002104,恒宝股份
SZ000592,平潭发展
SH600157,永泰能源
SZ000712,锦龙股份
SZ002681,奋达科技
SZ000630,铜陵有色
SH600079,人福医药
SZ300223,北京君正
SZ002073,软控股份
SZ000977,浪潮信息
SZ002069,獐子岛
SZ002414,高德红外
SZ002423,中原特钢
SH600567,山鹰纸业
SZ002573,清新环境
SH600343,航天动力
SH600085,同仁堂
SH600108,亚盛集团
SH600699,均胜电子
SZ000562,宏源证券
SZ000060,中金岭南
SH600600,青岛啤酒
SH601360,三六零
SZ300490,华自科技
SH600418,江淮汽车
SZ002176,江特电机
SZ300109,新开源
SH603799,华友钴业
SH601872,招商轮船
SZ000898,鞍钢股份
SH600704,物产中大
SZ300244,迪安诊断
SH600583,海油工程
SZ300676,华大基因
SH601918,新集能源
SZ000069,华侨城A
SZ002043,兔宝宝
SZ002306,*ST云网
SZ002074,国轩高科
SZ002032,苏泊尔
SH601718,际华集团
SH600018,上港集团
SZ002185,华天科技
SZ002252,上海莱士
SH601866,中远海发
SZ000581,威孚高科
SZ000970,中科三环
SZ000869,张裕A
SZ300397,天和防务
SZ000969,安泰科技
SZ002190,成飞集成
SH600252,中恒集团
SZ300497,富祥股份
SH600460,士兰微
SH601008,连云港
SZ300178,腾邦国际
SH600522,中天科技
SH601155,新城控股
SZ000671,阳光城
SZ300376,易事特
SZ300124,汇川技术
SH600008,首创股份
SZ000717,韶钢松山
SZ000735,罗牛山
SH600120,浙江东方
SH600011,华能国际
SH600004,白云机场
SZ000012,南玻A
SH600606,绿地控股
SZ300133,华策影视
SZ000540,中天金融
SH600037,歌华有线
SH600499,科达洁能
SZ002223,鱼跃医疗
SH600809,山西汾酒
SH601111,中国国航
SZ000876,新希望
SH600611,大众交通
SZ000799,酒鬼酒
SH600307,酒钢宏兴
SH600867,通化东宝
SH601313,江南嘉捷
SH601211,国泰君安
SH600435,北方导航
SZ300494,盛天网络
SH600694,大商股份
SZ002570,*ST因美
SZ300474,景嘉微
SH600584,长电科技
SZ000501,鄂武商A
SZ002065,东华软件
SZ300327,中颖电子
SZ000830,鲁西化工
SZ000786,北新建材
SZ000488,晨鸣纸业
SZ002572,索菲亚
SZ300029,天龙光电
SZ300296,利亚德
SH601808,中海油服
SZ300014,亿纬锂能
SZ000166,申万宏源
SZ002785,万里石
SH600677,航天通信
SZ000670,盈方微
SZ300032,金龙机电
SH601299,中国北车
SZ002777,久远银海
SZ300088,长信科技
SH601888,中国国旅
SH600601,方正科技
SH600816,安信信托
SZ000932,华菱钢铁
SH600495,晋西车轴
SH600528,中铁工业
SH600820,XD隧道股
SZ002019,亿帆医药
SH600638,新黄浦
SZ002385,大北农
SH600406,国电南瑞
SZ300068,南都电源
SH600537,亿晶光电
SH600857,宁波中百
SH601002,晋亿实业
SH600598,北大荒
SH600380,健康元
SZ000875,吉电股份
SH600763,通策医疗
SZ000938,紫光股份
SZ000905,厦门港务
SZ000656,金科股份
SZ000667,美好置业
SH600718,东软集团
SZ000987,越秀金控
SZ002271,东方雨虹
SZ300347,泰格医药
SH600151,航天机电
SZ000516,国际医学
SH600188,兖州煤业
SZ300012,华测检测
SH600503,华丽家族
SZ002108,沧州明珠
SZ002020,京新药业
SH600184,光电股份
SZ002431,棕榈股份
SZ000983,西山煤电
SZ300003,乐普医疗
SZ300236,上海新阳
SZ002506,协鑫集成
SH601117,中国化学
SZ002293,罗莱生活
SZ002787,华源控股
SH600422,昆药集团
SH601369,陕鼓动力
SZ000826,启迪桑德
SH600808,马钢股份
SZ000027,深圳能源
SZ002597,金禾实业
SH600259,广晟有色
SH600545,卓郎智能
SZ000151,中成股份
SH600884,杉杉股份
SH601890,亚星锚链
SZ300253,卫宁健康
SZ002070,*ST众和
SZ300516,久之洋
SZ002179,中航光电
SH600383,金地集团
SZ002106,莱宝高科
SZ000800,一汽轿车
SZ002440,闰土股份
SH603589,口子窖
SH600392,盛和资源
SH600166,福田汽车
SH600022,山东钢铁
SZ000751,锌业股份
SZ002307,北新路桥
SH601258,庞大集团
SZ002075,沙钢股份
SZ002477,雏鹰农牧
SZ000960,锡业股份
SZ000998,隆平高科
SZ000963,华东医药
SZ000802,北京文化
SZ002501,利源精制
SZ300036,超图软件
SH600176,中国巨石
SZ002146,荣盛发展
SZ000732,泰禾集团
SZ300168,万达信息
SZ000835,长城动漫
SZ000598,兴蓉环境
SZ002507,涪陵榨菜
SH601138,工业富联
SZ002642,荣之联
SZ002475,立讯精密
SH600410,华胜天成
SZ002151,北斗星通
SZ002174,游族网络
SZ300077,国民技术
SH600021,上海电力
SH600125,铁龙物流
SZ000019,深深宝A
SZ300750,宁德时代
SZ300484,蓝海华腾
SZ002095,生意宝
SZ002048,宁波华翔
SH600130,波导股份
SZ002033,丽江旅游
SZ002297,博云新材
SZ000726,鲁泰A
SZ000596,古井贡酒
SZ300177,中海达
SZ002635,安洁科技
SH600825,新华传媒
SH600023,浙能电力
SH600399,*ST抚钢
SZ000636,风华高科
SZ002583,海能达
SZ000848,承德露露
SZ300493,润欣科技
SH600832,东方明珠
SH601225,陕西煤业
SZ002603,以岭药业
SZ000043,中航善达
SZ300418,昆仑万维
SH603259,药明康德
SH600122,宏图高科
SH600498,烽火通信
SH600877,ST嘉陵
SZ000979,中弘股份
SZ002055,得润电子
SH600143,金发科技
SZ002232,启明信息
SH600398,海澜之家
SH600376,首开股份
SZ002161,远望谷
SZ300216,千山药机
SH600060,海信电器
SH600789,鲁抗医药
SZ002439,启明星辰
SZ002432,九安医疗
SH600390,五矿资本
SZ002011,盾安环境
SZ000685,中山公用
SZ002424,贵州百灵
SZ300450,先导智能
SH601992,金隅集团
SZ000629,*ST钒钛
SZ000877,天山股份
SH601699,潞安环能
SH600557,康缘药业
SH600765,中航重机
SH600797,浙大网新
SZ300246,宝莱特
SZ000046,泛海控股
SZ300355,蒙草生态
SH600784,鲁银投资
SZ002371,北方华创
SZ300508,维宏股份
SZ000025,特力A
SH600688,上海石化
SH600507,方大特钢
SH601003,柳钢股份
SH600581,八一钢铁
SZ000401,冀东水泥
SZ002769,普路通
SH601928,凤凰传媒
SZ300439,美康生物
SZ002078,太阳纸业
SH600993,马应龙
SH601216,君正集团
SZ000901,航天科技
SH600711,盛屯矿业
SH600990,四创电子
SZ000418,小天鹅A
SZ000532,华金资本
SZ000988,华工科技
SZ300073,当升科技
SZ002751,易尚展示
SH600480,凌云股份
SZ300213,佳讯飞鸿
SZ300054,鼎龙股份
SH600138,XD中青旅
SZ300492,山鼎设计
SZ002269,美邦服饰
SZ000883,湖北能源
SZ300298,三诺生物
SZ002302,西部建设
SZ000078,海王生物
SH600320,振华重工
SH600876,洛阳玻璃
SH600655,豫园股份
SZ002299,圣农发展
SH601880,大连港
SZ300312,邦讯技术
SH600006,东风汽车
SZ002376,新北洋
SZ002372,伟星新材
SH600970,中材国际
SH600756,浪潮软件
SZ002795,永和智控
SZ000851,高鸿股份
SH600678,四川金顶
SZ002044,美年健康
SZ300009,安科生物
SH600027,华电国际
SH600072,中船科技
SZ002736,国信证券
SH603986,兆易创新
SZ300392,腾信股份
SZ300252,金信诺
SH600482,中国动力
SH601898,中煤能源
SZ002511,中顺洁柔
SZ002079,苏州固锝
SH601069,西部黄金
SZ000961,中南建设
SH600388,龙净环保
SZ002001,新和成
SH601098,中南传媒
SZ000957,中通客车
SZ300113,顺网科技
SH600873,梅花生物
SH600754,锦江股份
SH601333,广深铁路
SZ000005,世纪星源
SZ002524,光正集团
SH600652,游久游戏
SH600485,信威集团
SZ002714,牧原股份
SZ002229,鸿博股份
SZ000062,深圳华强
SZ000520,长航凤凰
SZ000519,中兵红箭
SH600559,老白干酒
SZ002581,未名医药
SZ300498,温氏股份
SZ300185,通裕重工
SH600289,*ST信通
SH600827,百联股份
SZ002167,东方锆业
SH600183,生益科技
SZ000718,苏宁环球
SZ002195,二三四五
SZ300274,阳光电源
SZ300329,海伦钢琴
SZ002707,众信旅游
SH601608,中信重工
SZ002665,首航节能
SZ002489,浙江永强
SZ002262,恩华药业
SZ300134,大富科技
SZ300156,神雾环保
SZ000767,漳泽电力
SZ300433,蓝思科技
SH600416,湘电股份
SH600270,外运发展
SZ002387,维信诺
SH600479,千金药业
SZ300208,恒顺众昇
SZ002555,三七互娱
SH600160,巨化股份
SZ002497,雅化集团
SH603996,中新科技
SZ002527,新时达
SZ000999,华润三九
SZ300383,光环新网
SZ002276,万马股份
SZ300482,万孚生物
SH601238,广汽集团
SZ300466,赛摩电气
SZ002457,青龙管业
SH600871,*ST油服
SZ000513,丽珠集团
SZ000016,深康佳A
SZ000882,华联股份
SH600275,ST昌鱼
SH600459,贵研铂业
SZ000403,ST生化
SZ002284,亚太股份
SZ000049,德赛电池
SH600182,S佳通
SH600233,圆通速递
SH600170,上海建工
SH600536,中国软件
SZ300101,振芯科技
SZ300359,全通教育
SZ300188,美亚柏科
SH600373,中文传媒
SZ000931,中关村
SH600804,鹏博士
SH600062,华润双鹤
SZ300204,舒泰神
SZ002035,华帝股份
SZ002701,奥瑞金
SZ000793,华闻传媒
SZ300098,高新兴
SH600026,中远海能
SZ000816,*ST慧业
SH600432,退市吉恩
SZ300207,欣旺达
SH600728,佳都科技
SZ300333,兆日科技
SH600969,郴电国际
SZ002181,粤传媒
SH600650,锦江投资
SH600650,锦江投资
SH600310,桂东电力
SZ002797,第一创业
SZ002498,汉缆股份
SZ300294,博雅生物
SH603299,井神股份
SH600497,驰宏锌锗
SZ000089,深圳机场
SZ300005,探路者
SH600059,古越龙山
SZ000750,国海证券
SH600511,国药股份
SH600401,*ST海润
SZ000933,神火股份
SH600673,东阳光科
SZ002607,亚夏汽车
SZ000503,国新健康
SZ000911,南宁糖业
SH600587,新华医疗
SZ300085,银之杰
SZ000729,燕京啤酒
SH600779,水井坊
SZ002281,光迅科技
SH600590,泰豪科技
SZ002718,友邦吊顶
SH600801,华新水泥
SZ002448,中原内配
SZ002156,通富微电
SH600863,内蒙华电
SH600231,凌钢股份
SZ002036,联创电子
SH600630,龙头股份
SH600572,康恩贝
SH600959,江苏有线
SZ000400,许继电气
SH600074,*ST保千
SH600490,鹏欣资源
SH600456,宝钛股份
SZ300055,万邦达
SH600958,东方证券
SH600578,京能电力
SZ300115,长盈精密
SZ002139,拓邦股份
SH600269,赣粤高速
SZ300357,我武生物
SZ300075,数字政通
SH600549,厦门钨业
SH600748,XD上实发
SH600171,上海贝岭
SZ002050,三花智控
SZ300226,上海钢联
SH600664,哈药股份
SH600137,浪莎股份
SZ300408,三环集团
SH603117,万林股份
SZ300458,全志科技
SZ300013,新宁物流
SZ300618,寒锐钴业
SZ002519,银河电子
SZ300044,赛为智能
SZ002468,申通快递
SH600775,南京熊猫
SZ002500,山西证券
SZ002677,浙江美大
SZ000762,西藏矿业
SZ300052,中青宝
SZ002608,江苏国信
SZ002625,光启技术
SZ300316,晶盛机电
SZ002383,合众思壮
SH600663,陆家嘴
SH600667,太极实业
SZ300135,宝利国际
SZ300028,*金亚
SZ000558,莱茵体育
SZ002410,广联达
SH600988,赤峰黄金
SZ000681,视觉中国
SZ000099,中信海直
SZ002362,汉王科技
SZ002402,和而泰
SZ300142,沃森生物
SZ000511,烯碳退
SH600056,中国医药
SH603116,红蜻蜓
SH603223,恒通股份
SZ002155,湖南黄金
SH601198,东兴证券
SH600836,界龙实业
SH600282,南钢股份
SZ002595,豪迈科技
SZ002138,顺络电子
SH600576,祥源文化
SH600566,济川药业
SZ002215,诺普信
SZ002697,红旗连锁
SZ000973,佛塑科技
SZ002419,天虹股份
SZ002624,完美世界
SZ002261,拓维信息
SZ002563,森马服饰
SH600017,日照港
SZ002515,金字火腿
SH603085,天成自控
SH603085,天成自控
SH603085,天成自控
SH603085,天成自控
SZ000561,烽火电子
SH600707,彩虹股份
SH603167,渤海轮渡
SH600846,同济科技
SZ000710,贝瑞基因
SZ002130,沃尔核材
SH600054,黄山旅游
SZ000807,云铝股份
SH600288,大恒科技
SZ002052,同洲电子
SH600363,联创光电
SZ300367,东方网力
SZ300183,东软载波
SH600126,杭钢股份
SZ002197,证通电子
SZ300179,四方达
SZ002110,三钢闽光
SH600569,安阳钢铁
SH600773,西藏城投
SZ002600,领益智造
SZ300122,智飞生物
SH601001,大同煤业
SZ002222,福晶科技
SZ000639,西王食品
SH601777,力帆股份
SH600359,新农开发
SZ300173,智慧松德
SZ000555,神州信息
SZ002186,全聚德
SZ002770,科迪乳业
SH601158,重庆水务
SZ002092,中泰化学
SH600526,菲达环保
SZ000837,秦川机床
SZ002177,御银股份
SH600185,格力地产
SH600020,中原高速
SH600596,新安股份
SZ000156,华数传媒
SZ000616,海航投资
SH600112,天成控股
SH603168,莎普爱思
SH601116,三江购物
SH600093,易见股份
SZ002821,凯莱英
SZ300145,中金环境
SZ300222,科大智能
SH600409,三友化工
SZ300364,中文在线
SH600998,九州通
SZ300501,海顺新材
SZ002051,中工国际
SH600187,国中水务
SZ300137,先河环保
SZ002557,洽洽食品
SZ002275,桂林三金
SZ300182,捷成股份
SZ002444,巨星科技
SH600740,山西焦化
SZ000989,九芝堂
SZ002331,皖通科技
SH603000,人民网
SZ002327,富安娜
SH600919,江苏银行
SZ000547,航天发展
SZ000801,四川九洲
SZ002418,康盛股份
SZ300300,汉鼎宇佑
SZ002695,煌上煌
SZ000758,中色股份
SZ000829,天音控股
SZ300666,江丰电子
SZ002097,山河智能
SZ002496,辉丰股份
SZ002686,亿利达
SZ002587,奥拓电子
SH600354,敦煌种业
SZ300078,思创医惠
SZ000415,渤海金控
SH600123,兰花科创
SZ002690,美亚光电
SH600571,信雅达
SZ000030,富奥股份
SZ300170,汉得信息
SZ300205,天喻信息
SZ002596,海南瑞泽
SZ002235,安妮股份
SH600355,精伦电子
SH600862,中航高科
SZ002249,大洋电机
SZ002334,英威腾
SZ002601,龙蟒佰利
SZ000958,东方能源
SZ000506,中润资源
SZ000650,仁和药业
SH600326,西藏天路
SH600864,哈投股份
SZ002375,亚厦股份
SZ002366,台海核电
SH600978,宜华生活
SZ000528,柳工
SZ002799,环球印务
SZ002568,百润股份
SH600794,保税科技
SH600467,好当家
SH600033,福建高速
SH600835,上海机电
SH600249,两面针
SH600702,舍得酒业
SH603160,汇顶科技
SH600313,农发种业
SH601555,东吴证券
SH600052,浙江广厦
SZ000554,泰山石油
SZ300339,润和软件
SZ000856,冀东装备
